"species";"growth.rate";"SiteID";"Density.tree.Class";"age"
"Spruce";1,15034639170478;47;"medium";66
"Spruce";0,756965619489113;47;"high";68
"Oak";1,20847483512106;47;"low";65
"Oak";1,15067524327583;47;"low";66
"Oak";0,788193886875968;47;"medium";67
"Oak";1,15747429843762;47;"medium";63
"Oak";1,13752403718599;47;"low";63
"Spruce";1,27694853713976;47;"medium";67
"Spruce";1,39194896240181;47;"medium";50
"Beech";1,2068382314387;48;"high";57
"Larch";1,45051601587247;48;"high";63
"Larch";1,23192206724144;48;"high";62
"Spruce";1,34845213300583;48;"high";55
"Spruce";1,24940509479422;48;"high";52
"Spruce";1,62381255588705;48;"high";47
"Spruce";0,940376497331481;48;"high";52
"Spruce";1,30435071943257;48;"medium";59
"Spruce";1,48662396930552;48;"high";53
"Beech";1,58451472366924;48;"high";57
"Beech";1,43086043670477;48;"high";61
"Beech";1,28389438573893;48;"high";60
"Beech";1,14879332387221;48;"high";64
"Larch";1,32156075671545;48;"high";60
"Larch";1,45856064686153;48;"high";53
"Larch";1,24430563732305;48;"high";58
"Beech";1,63761216543914;49;"high";86
"Spruce";1,19784205233932;49;"high";87
"Spruce";1,24707766760236;49;"high";83
"Spruce";0,55947070490995;49;"high";82
"Larch";0,913398591584998;49;"high";88
"Larch";0,936986144168772;49;"high";90
"Larch";1,10427572591128;49;"high";87
"Larch";0,814226861690193;49;"medium";85
"Larch";1,08137215069556;49;"high";86
"Beech";1,24007130422291;49;"high";92
"Beech";1,50959272920535;49;"high";89
"Beech";1,19262186037996;49;"high";88
"Beech";1,67470118137316;49;"high";91
"Beech";1,19438768656391;49;"high";92
"Spruce";0,512108233470648;49;"medium";81
"Spruce";1,19348823506854;49;"high";84
"Spruce";1,34787251372001;49;"high";84
"Larch";1,21851070535114;50;"high";88
"Beech";1,21133840536926;50;"medium";87
"Beech";1,4277361020723;50;"low";88
"Beech";1,36028507973084;50;"low";87
"Spruce";1,01744957344826;50;"high";90
